meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
,126,,,0,1.843632,,,,,,,176,67,119,,,,,,,,
,127,,,0,1.854048,,,,,,,176,67,126,,,,,,,,
,128,,,0,1.864464,,,,,,,176,64,10,,,,,,,,
,129,,,0,1.864464,,,,,,,176,67,127,,,,,,,,
,130,,,0,1.872276,,,,,,,176,64,8,,,,,,,,
,131,,,0,1.882692,,,,,,,176,64,4,,,,,,,,
,132,,,0,1.903524,,,,,,,176,64,1,,,,,,,,
,133,,,0,1.91394,,,,,,,176,64,0,,,,,,,,
,134,,,0,4.903332,,,,,,,176,64,1,,,,,,,,
,135,,,0,4.913748,,,,,,,176,64,0,,,,,,,,
,136,,,0,4.931976,,,,,,,176,64,1,,,,,,,,
,137,,,0,4.952808,,,,,,,176,64,0,,,,,,,,
,138,,,0,4.963224,,,,,,,176,64,2,,,,,,,,
,139,,,0,4.97364,,,,,,,176,64,1,,,,,,,,
,140,,,0,4.991868,,,,,,,176,64,2,,,,,,,,
,141,,,0,5.002284,,,,,,,176,64,1,,,,,,,,
,142,,,0,5.0127,,,,,,,176,64,2,,,,,,,,
,143,,,0,5.033532,,,,,,,176,64,1,,,,,,,,
,144,,,0,5.043948,,,,,,,176,64,2,,,,,,,,
,145,,,0,5.05176,,,,,,,176,64,3,,,,,,,,
,146,,,0,5.06478,,,,,,,176,64,2,,,,,,,,
,147,,,0,5.072592,,,,,,,176,64,3,,,,,,,,
,148,,,0,5.083008,,,,,,,176,64,4,,,,,,,,
,149,,,0,5.093424,,,,,,,176,64,2,,,,,,,,
,150,,,0,5.124672,,,,,,,176,64,0,,,,,,,,
,151,,,0,5.135088,,,,,,,176,64,2,,,,,,,,
,152,,,0,5.1429,,,,,,,176,64,1,,,,,,,,
,153,,,0,5.153316,,,,,,,176,64,0,,,,,,,,
302,154,1,9179,0,8.86662,,8.0,0,F#4,ppp,5,144,66,30,,,,g,,,,
,155,,,0,8.913492,,,,,,,176,64,3,,,,,,,,
,156,,,0,8.923908,,,,,,,176,64,12,,,,,,,,
,157,,,0,8.93172,,,,,,,176,64,19,,,,,,,,
,158,,,0,8.942136,,,,,,,176,64,26,,,,,,,,
,159,,,0,8.952552,,,,,,,176,64,30,,,,,,,,
,160,,,0,8.962968,,,,,,,176,64,33,,,,,,,,
,161,,,0,8.968176,,,,,,,144,66,0,,,,,,,,
,162,,,0,8.973384,,,,,,,176,64,36,,,,,,,,
,163,,,0,8.9838,,,,,,,176,64,41,,,,,,,,
302,164,1,9180,0,8.986404,384,4.0,1,E1,ppp,5,144,28,38,,,,,,,,
